start_station_name,end_station_name,member_casual,date,avg_temp,value,month,day_of_week,season
Central Park North & Adam Clayton Powell Blvd,,casual,2021-11-09,,1,11,Tuesday,fall
Grand Concourse & E 144 St,,casual,2021-11-17,,1,11,Wednesday,fall
7 Ave & Park Pl,7 Ave & Park Pl,casual,2021-12-30,,1,12,Thursday,winter
5 Ave & E 135 St,5 Ave & E 135 St,member,2021-12-31,,1,12,Friday,winter
Broadway & W 36 St,E 13 St & 2 Ave,casual,2021-12-31,,1,12,Friday,winter
Ft. Hamilton Pkwy & E 2 St,Ft. Hamilton Pkwy & E 2 St,casual,2021-12-31,,1,12,Friday,winter
E 20 St & 2 Ave,Centre St & Chambers St,member,2021-12-31,,1,12,Friday,winter
Douglass St & 4 Ave,Fulton St & Waverly Ave,member,2021-12-31,,1,12,Friday,winter
E 75 St & 3 Ave,E 75 St & 3 Ave,member,2021-12-31,,1,12,Friday,winter
Montrose Ave & Bushwick Ave,Wilson Ave & Troutman St,member,2021-12-31,,1,12,Friday,winter
Lewis Ave & Madison St,Lewis Ave & Madison St,casual,2021-12-31,,1,12,Friday,winter
Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,casual,2021-12-31,,1,12,Friday,winter
Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,casual,2021-12-31,,1,12,Friday,winter
West St & Chambers St,Albany St & Greenwich St,casual,2021-12-31,,1,12,Friday,winter
W 36 St & 9 Ave,W 36 St & 9 Ave,casual,2021-12-31,,1,12,Friday,winter
W 70 St & Amsterdam Ave,W 70 St & Amsterdam Ave,member,2021-12-31,,1,12,Friday,winter
E 85 St & 3 Ave,E 81 St & 3 Ave,casual,2021-12-31,,1,12,Friday,winter
Broadway & W 61 St,5 Ave & E 63 St,casual,2021-12-31,,1,12,Friday,winter
5 Ave & E 63 St,5 Ave & E 63 St,casual,2021-12-31,,1,12,Friday,winter
Flushing Ave & Vanderbilt Ave,Old Fulton St,casual,2021-12-31,,1,12,Friday,winter
St. Nicholas Ave & W 126 St,,member,2021-12-31,,1,12,Friday,winter
2 Ave & E 96 St,,member,2021-12-31,,1,12,Friday,winter
W 26 St & 8 Ave,,member,2021-12-31,,1,12,Friday,winter
St. Nicholas Ave & W 157 St,,member,2021-12-31,,1,12,Friday,winter
Adam Clayton Powell Blvd & W 138 St,,casual,2021-12-31,,1,12,Friday,winter
1 Ave & E 16 St,,casual,2021-12-31,,1,12,Friday,winter
West End Ave & W 78 St,,member,2021-12-31,,1,12,Friday,winter
Cadman Plaza E & Red Cross Pl,,casual,2021-12-31,,1,12,Friday,winter
Crescent St & 34 Ave,,casual,2021-12-31,,1,12,Friday,winter
Edgecombe Ave & W 141 St,,member,2021-12-31,,1,12,Friday,winter
Central Park W & W 103 St,,casual,2021-12-31,,1,12,Friday,winter
Broadway & Berry St,Broadway & Berry St,member,2021-12-31,,1,12,Friday,winter
E 88 St & 1 Ave,,member,2021-12-31,,1,12,Friday,winter
Montague St & Clinton St,,member,2021-12-31,,1,12,Friday,winter
E 60 St & York Ave,,member,2021-12-31,,1,12,Friday,winter
Adam Clayton Powell Blvd & W 123 St,,member,2021-12-31,,1,12,Friday,winter
Willoughby Ave & Hall St,,casual,2021-12-31,,1,12,Friday,winter
